========================================
Antarctic_Heat 调参结果汇总
生成时间: 2026-04-23 15:14:15
========================================

格式: window_size | contrastive_weight | learning_rate | MSE | MAE | best_epoch
9 | 0.0001 | 0.0001 | 0.15421614050865173 | 0.26979711651802063 | N/A
9 | 0.0001 | 0.0002 | 0.15781067311763763 | 0.272643119096756 | N/A
9 | 0.0001 | 0.0005 | 0.16283904016017914 | 0.277413010597229 | N/A
9 | 0.0001 | 0.0012 | 0.15791510045528412 | 0.2729935944080353 | N/A
9 | 0.0001 | 0.001 | 0.16453814506530762 | 0.27922993898391724 | N/A
9 | 0.0001 | 0.002 | 0.15959283709526062 | 0.26923587918281555 | N/A
9 | 0.0005 | 0.0001 | 0.15396907925605774 | 0.269177109003067 | N/A
9 | 0.0005 | 0.0002 | 0.15709081292152405 | 0.2715938091278076 | N/A
9 | 0.0005 | 0.0005 | 0.16056707501411438 | 0.274762362241745 | N/A
9 | 0.0005 | 0.0012 | 0.1528991013765335 | 0.2697269916534424 | N/A
9 | 0.0005 | 0.001 | 0.15945784747600555 | 0.2740670144557953 | N/A
9 | 0.0005 | 0.002 | 0.16698697209358215 | 0.27558833360671997 | N/A
9 | 0.001 | 0.0001 | 0.15292084217071533 | 0.2676661014556885 | N/A
9 | 0.001 | 0.0002 | 0.15798525512218475 | 0.271759033203125 | N/A
9 | 0.001 | 0.0005 | 0.15983082354068756 | 0.2751117944717407 | N/A
9 | 0.001 | 0.0012 | 0.15420649945735931 | 0.2691153883934021 | N/A
9 | 0.001 | 0.001 | 0.15986864268779755 | 0.2730023264884949 | N/A
9 | 0.001 | 0.002 | 0.16457954049110413 | 0.27515077590942383 | N/A
9 | 0.005 | 0.0001 | 0.1527967005968094 | 0.2680710256099701 | N/A
9 | 0.005 | 0.0002 | 0.15908168256282806 | 0.2732206881046295 | N/A
9 | 0.005 | 0.0005 | 0.15663473308086395 | 0.27222687005996704 | N/A
9 | 0.005 | 0.0012 | 0.15641050040721893 | 0.27088242769241333 | N/A
9 | 0.005 | 0.001 | 0.15848664939403534 | 0.27223503589630127 | N/A
9 | 0.005 | 0.002 | 0.16434283554553986 | 0.2742840051651001 | N/A
9 | 0.01 | 0.0001 | 0.15465185046195984 | 0.2701417803764343 | N/A
9 | 0.01 | 0.0002 | 0.15948176383972168 | 0.2744748890399933 | N/A
9 | 0.01 | 0.0005 | 0.15820319950580597 | 0.27456486225128174 | N/A
9 | 0.01 | 0.0012 | 0.15708288550376892 | 0.27261263132095337 | N/A
9 | 0.01 | 0.001 | 0.1557229906320572 | 0.2709507942199707 | N/A
9 | 0.01 | 0.002 | 0.16654597222805023 | 0.2758224308490753 | N/A

========================================
按 MSE 从低到高排序 (前10名)
========================================
15 | 0.005 | 0.0001 | N/A | N/A | N/A
3 | 0.00005 | 0.0012 | 0.14641748368740082 | 0.26180917024612427 | N/A
1 | 0.005 | 0.002 | 0.14759096503257751 | 0.2634223699569702 | N/A
6 | 0.001 | 0.0012 | 0.1481970250606537 | 0.26288941502571106 | N/A
3 | 0.00001 | 0.0001 | 0.14828753471374512 | 0.2645699083805084 | N/A
3 | 0.00005 | 0.0001 | 0.14830903708934784 | 0.26458731293678284 | N/A
3 | 0.0001 | 0.0001 | 0.1483328938484192 | 0.26460710167884827 | N/A
1 | 0.001 | 0.0001 | 0.1484210342168808 | 0.26440638303756714 | N/A
1 | 0.001 | 0.002 | 0.14850151538848877 | 0.2635287344455719 | N/A
3 | 0.0005 | 0.0001 | 0.1485057771205902 | 0.26475247740745544 | N/A

