number,value,datetime_start,datetime_complete,duration,params_contrastive_weight,params_d_ff,params_d_model,params_e_layers,params_learning_rate,params_window_size,state
35,67.58724975585938,2025-06-16 13:33:33.211112,2025-06-16 13:34:25.078955,0 days 00:00:51.867843,0.0007876998231716181,512,256,2,0.00045324140578399837,12,COMPLETE
36,65.06224060058594,2025-06-16 13:34:25.099869,2025-06-16 13:35:38.796135,0 days 00:01:13.696266,0.04199626694285296,512,256,3,0.0003609096194309499,6,COMPLETE
37,64.9173355102539,2025-06-16 13:35:38.816050,2025-06-16 13:36:57.662040,0 days 00:01:18.845990,0.0004337705649942814,512,512,2,0.00016700040086040522,7,COMPLETE
38,63.77296829223633,2025-06-16 13:36:57.682714,2025-06-16 13:37:49.072034,0 days 00:00:51.389320,0.00013074063310835408,512,256,2,0.0007953466250554234,3,COMPLETE
39,66.2756576538086,2025-06-16 13:37:49.092227,2025-06-16 13:38:47.529283,0 days 00:00:58.437056,0.0001890494624753206,512,256,2,0.0004803270629979548,2,COMPLETE
40,68.39302825927734,2025-06-16 13:38:47.550568,2025-06-16 13:41:10.315765,0 days 00:02:22.765197,0.0006017810831944214,512,512,4,0.00027267962091832794,3,COMPLETE
41,65.32714080810547,2025-06-16 13:41:10.336462,2025-06-16 13:42:12.099080,0 days 00:01:01.762618,0.000271875761044667,256,256,3,0.00020823096612379788,12,COMPLETE
42,63.54713821411133,2025-06-16 13:42:12.119394,2025-06-16 13:43:15.023486,0 days 00:01:02.904092,0.0004415723560861661,256,256,2,0.00031013615861281876,3,COMPLETE
43,63.54475402832031,2025-06-16 13:43:15.043998,2025-06-16 13:44:18.156981,0 days 00:01:03.112983,0.0004767271476680873,256,256,2,0.00031482427778310826,3,COMPLETE
44,66.14801025390625,2025-06-16 13:44:18.177789,2025-06-16 13:45:14.402285,0 days 00:00:56.224496,0.0006106137623242295,256,256,2,0.00040726903133373057,5,COMPLETE
45,64.0664291381836,2025-06-16 13:45:14.422703,2025-06-16 13:46:17.814179,0 days 00:01:03.391476,0.006061301942359304,256,256,2,0.00032411073581814606,3,COMPLETE
46,64.88188934326172,2025-06-16 13:46:17.834261,2025-06-16 13:47:07.689231,0 days 00:00:49.854970,0.0009902296858271085,256,256,2,0.0005870857414070408,11,COMPLETE
47,65.33048248291016,2025-06-16 13:47:07.709462,2025-06-16 13:47:57.636022,0 days 00:00:49.926560,0.00010050287891886752,256,256,2,0.0004888140157175725,3,COMPLETE
48,64.25830841064453,2025-06-16 13:47:57.656313,2025-06-16 13:48:48.896035,0 days 00:00:51.239722,0.0001946509349559426,512,256,2,0.000686732788332257,3,COMPLETE
49,65.45808410644531,2025-06-16 13:48:48.916709,2025-06-16 13:49:45.116327,0 days 00:00:56.199618,0.00030840173668934725,256,256,2,0.0001722362671964966,8,COMPLETE
50,66.71886444091797,2025-06-16 13:49:45.136502,2025-06-16 13:50:43.598671,0 days 00:00:58.462169,0.014836135394091881,512,256,2,0.0003772244011189741,2,COMPLETE
51,73.76847076416016,2025-06-16 13:50:43.618568,2025-06-16 13:53:06.665830,0 days 00:02:23.047262,0.0004895676177622613,512,512,4,0.0008863439109475263,3,COMPLETE
52,63.53538513183594,2025-06-16 13:53:06.685728,2025-06-16 13:54:10.531447,0 days 00:01:03.845719,0.00040606503519252874,256,256,2,0.00030422581244579514,3,COMPLETE
53,63.56113815307617,2025-06-16 13:54:10.550874,2025-06-16 13:55:13.826072,0 days 00:01:03.275198,0.00024303279390366784,256,256,2,0.0003021834013488356,3,COMPLETE
54,63.76051330566406,2025-06-16 13:55:13.845483,2025-06-16 13:56:16.421857,0 days 00:01:02.576374,0.0013182644840018522,256,256,2,0.0002562722407536855,3,COMPLETE
55,69.52717590332031,2025-06-16 13:56:16.441860,2025-06-16 13:57:12.789079,0 days 00:00:56.347219,0.000694908573873681,256,256,2,0.000527683675436607,4,COMPLETE
56,63.110355377197266,2025-06-16 13:57:12.808676,2025-06-16 13:58:15.840695,0 days 00:01:03.032019,0.00040488557333211124,256,256,2,0.00021259292763386263,9,COMPLETE
57,63.50780487060547,2025-06-16 13:58:15.862504,2025-06-16 13:59:19.050218,0 days 00:01:03.187714,0.0003743721322986252,256,256,2,0.0001362471218492987,9,COMPLETE
58,64.27156829833984,2025-06-16 13:59:19.091862,2025-06-16 14:00:59.859080,0 days 00:01:40.767218,0.00013130793690131436,512,256,3,8.256277496798394e-05,9,COMPLETE
59,63.9473762512207,2025-06-16 14:00:59.878784,2025-06-16 14:02:03.155064,0 days 00:01:03.276280,0.0019256070864727161,256,256,2,0.00012806032879092986,9,COMPLETE
60,65.26765441894531,2025-06-16 14:02:03.174306,2025-06-16 14:02:54.900206,0 days 00:00:51.725900,0.00020319902874242984,512,256,2,9.92056490424573e-05,9,COMPLETE
61,65.30469512939453,2025-06-16 14:02:54.919905,2025-06-16 14:03:46.437587,0 days 00:00:51.517682,0.0003259136599376697,512,256,2,0.00020140440685510502,9,COMPLETE
62,66.07311248779297,2025-06-16 14:03:46.457173,2025-06-16 14:04:36.246631,0 days 00:00:49.789458,0.0003847425764622561,256,256,2,0.00014114721131844662,10,COMPLETE
63,63.40767288208008,2025-06-16 14:04:36.266987,2025-06-16 14:05:39.742496,0 days 00:01:03.475509,0.00028706320849457696,256,256,2,0.00014723885505143897,9,COMPLETE
64,63.373695373535156,2025-06-16 14:05:39.762524,2025-06-16 14:06:43.254362,0 days 00:01:03.491838,0.00017734550311288404,256,256,2,0.00014948425650542957,9,COMPLETE
65,63.27132797241211,2025-06-16 14:06:43.274042,2025-06-16 14:07:46.477157,0 days 00:01:03.203115,0.0002647885724763244,256,256,2,0.000160272028738259,9,COMPLETE
66,64.42982482910156,2025-06-16 14:07:46.497268,2025-06-16 14:08:42.735784,0 days 00:00:56.238516,0.0001208993873425259,256,256,2,0.00015629269686085387,1,COMPLETE
67,67.15926361083984,2025-06-16 14:08:42.755629,2025-06-16 14:09:59.252954,0 days 00:01:16.497325,0.00015910277108824555,512,512,4,0.00018516624139493725,9,COMPLETE
