number,value,datetime_start,datetime_complete,duration,params_contrastive_weight,params_d_ff,params_d_model,params_e_layers,params_learning_rate,params_window_size,state
0,1.4240713119506836,2025-06-16 16:27:28.870174,2025-06-16 16:30:34.522161,0 days 00:03:05.651987,0.005069655697758993,256,256,3,9.9980076168367e-05,8,COMPLETE
1,1.3298389911651611,2025-06-16 16:30:34.546803,2025-06-16 16:33:12.026954,0 days 00:02:37.480151,0.00026673486748686633,512,256,2,0.00012666887040542658,3,COMPLETE
2,1.3570826053619385,2025-06-16 16:33:12.047743,2025-06-16 16:36:24.843225,0 days 00:03:12.795482,0.003248202027542102,256,256,4,5.256042510920202e-05,9,COMPLETE
3,1.4189231395721436,2025-06-16 16:36:24.863754,2025-06-16 16:39:02.931853,0 days 00:02:38.068099,0.0014471056531634734,256,512,4,0.00025724709181924134,7,COMPLETE
4,1.508250117301941,2025-06-16 16:39:02.954092,2025-06-16 16:42:35.453588,0 days 00:03:32.499496,0.007109495633015348,512,256,4,0.0003801176825784259,4,COMPLETE
5,1.4907101392745972,2025-06-16 16:42:35.475605,2025-06-16 16:45:42.649245,0 days 00:03:07.173640,0.0005556416626700514,512,512,4,0.00010282027967385411,8,COMPLETE
6,1.536393642425537,2025-06-16 16:45:42.670324,2025-06-16 16:47:53.738865,0 days 00:02:11.068541,0.0009745348688394595,512,512,2,0.00015171318142290647,8,COMPLETE
7,1.4325907230377197,2025-06-16 16:47:53.760491,2025-06-16 16:50:40.288402,0 days 00:02:46.527911,0.020265325242887815,256,256,4,0.00016720073435939537,8,COMPLETE
8,1.3960148096084595,2025-06-16 16:50:40.309774,2025-06-16 16:52:31.890527,0 days 00:01:51.580753,0.0013950570583264315,256,512,2,0.0003688323800406547,6,COMPLETE
9,1.33565354347229,2025-06-16 16:52:31.912863,2025-06-16 16:55:33.214740,0 days 00:03:01.301877,0.03486072093898802,512,256,4,0.0002936530934984946,9,COMPLETE
10,1.3230276107788086,2025-06-16 16:55:33.235321,2025-06-16 16:57:33.931817,0 days 00:02:00.696496,0.00010369736470060562,512,256,2,0.0008838972894013321,3,COMPLETE
11,1.3106714487075806,2025-06-16 16:57:33.951762,2025-06-16 16:59:34.750287,0 days 00:02:00.798525,0.00010616043128663703,512,256,2,0.0008675187215891648,3,COMPLETE
12,1.3356484174728394,2025-06-16 16:59:34.770091,2025-06-16 17:01:34.609353,0 days 00:01:59.839262,0.00010528412630914587,512,256,2,0.0009896032911951864,3,COMPLETE
13,1.3290824890136719,2025-06-16 17:01:34.630008,2025-06-16 17:03:35.942287,0 days 00:02:01.312279,0.00010158780474853294,512,256,2,0.0009659921863675229,3,COMPLETE
14,1.6434392929077148,2025-06-16 17:03:35.962277,2025-06-16 17:05:50.571768,0 days 00:02:14.609491,0.0003204907480202895,512,256,3,0.0006026811631161564,10,COMPLETE
15,1.3776477575302124,2025-06-16 17:05:50.591630,2025-06-16 17:07:29.224862,0 days 00:01:38.633232,0.00022003119339157221,512,256,2,0.00061451718060735,11,COMPLETE
16,1.4942547082901,2025-06-16 17:07:29.245134,2025-06-16 17:09:30.436527,0 days 00:02:01.191393,0.0005060372593164083,512,256,2,0.000569611088583161,2,COMPLETE
17,1.4575647115707397,2025-06-16 17:09:30.456827,2025-06-16 17:11:16.920413,0 days 00:01:46.463586,0.00014236871974578663,512,256,3,0.0007156917017033232,12,COMPLETE
18,1.5214319229125977,2025-06-16 17:11:16.940919,2025-06-16 17:13:09.890531,0 days 00:01:52.949612,0.0006387228527700844,512,512,2,0.0004239291216537161,1,COMPLETE
19,1.5631604194641113,2025-06-16 17:13:09.911329,2025-06-16 17:14:48.808895,0 days 00:01:38.897566,0.00019375011857349382,512,256,2,0.0007896403208121701,5,COMPLETE
20,1.3154234886169434,2025-06-16 17:14:48.829011,2025-06-16 17:16:27.412480,0 days 00:01:38.583469,0.00036444725291874856,512,256,2,0.0004808940316980545,3,COMPLETE
21,1.3174488544464111,2025-06-16 17:16:27.432901,2025-06-16 17:18:05.950112,0 days 00:01:38.517211,0.0003320244554734937,512,256,2,0.0004919214678452361,3,COMPLETE
22,1.3122674226760864,2025-06-16 17:18:05.970555,2025-06-16 17:19:44.929216,0 days 00:01:38.958661,0.0003341459250380163,512,256,2,0.00047867725305438826,3,COMPLETE
23,1.3293261528015137,2025-06-16 17:19:44.949449,2025-06-16 17:22:22.244206,0 days 00:02:37.294757,0.00042933895328461,512,256,2,0.00020824475513596941,3,COMPLETE
24,1.3278230428695679,2025-06-16 17:22:22.264019,2025-06-16 17:24:30.373642,0 days 00:02:08.109623,0.0009922345741019939,512,256,2,0.0003391247666642101,3,COMPLETE
25,1.3558253049850464,2025-06-16 17:24:30.393519,2025-06-16 17:26:26.035941,0 days 00:01:55.642422,0.0001824205048432398,512,256,3,0.0005161976135034125,11,COMPLETE
26,1.343923807144165,2025-06-16 17:26:26.056220,2025-06-16 17:28:20.136097,0 days 00:01:54.079877,0.0007964707001285664,512,512,2,0.0007246287194330537,4,COMPLETE
27,1.4414359331130981,2025-06-16 17:28:20.156420,2025-06-16 17:30:04.981301,0 days 00:01:44.824881,0.00034201291573651173,256,256,2,0.0004504881677365868,7,COMPLETE
28,1.2484902143478394,2025-06-16 17:30:05.001590,2025-06-16 17:32:36.245054,0 days 00:02:31.243464,0.0016162869308849962,512,256,2,0.00023717395206811185,1,COMPLETE
29,1.293871283531189,2025-06-16 17:32:36.265253,2025-06-16 17:35:24.499099,0 days 00:02:48.233846,0.005452140362998511,256,256,3,5.4557470216929046e-05,1,COMPLETE
30,1.2963463068008423,2025-06-16 17:35:24.519333,2025-06-16 17:38:14.213541,0 days 00:02:49.694208,0.008215958685966576,256,256,3,5.404255530352137e-05,1,COMPLETE
31,1.294437289237976,2025-06-16 17:38:14.234683,2025-06-16 17:41:06.286407,0 days 00:02:52.051724,0.006167481102414487,256,256,3,5.447985532861391e-05,1,COMPLETE
